"State","State.Abbreviation","Policy","Date","Group"
"Arkansas","AR","closing_nebusinesses",2020-04-06,"Lockdown"
"Missouri","MO","shelter_in_place_order",2020-04-06,"Lockdown"
"South Carolina","SC","shelter_in_place_order",2020-04-07,"Lockdown"
"Nebraska","NE","closing_nebusinesses",2020-04-09,"Lockdown"
"Nebraska","NE","closing_movietheaters",2020-04-09,"Lockdown"
"South Carolina","SC","reopening_business",2020-04-20,"Reopening"
"South Carolina","SC","reopening_neretail",2020-04-20,"Reopening"
"Georgia","GA","reopening_neretail",2020-04-23,"Reopening"
"Alaska","AK","reopening_business",2020-04-24,"Reopening"
"Oklahoma","OK","reopening_business",2020-04-24,"Reopening"
"Alaska","AK","reopening_restaurants",2020-04-24,"Reopening"
"Georgia","GA","reopening_gyms",2020-04-24,"Reopening"
"Alaska","AK","reopening_hairsalons",2020-04-24,"Reopening"
"Georgia","GA","reopening_hairsalons",2020-04-24,"Reopening"
"Oklahoma","OK","reopening_hairsalons",2020-04-24,"Reopening"
"Alaska","AK","reopening_neretail",2020-04-24,"Reopening"
"Oklahoma","OK","reopening_neretail",2020-04-24,"Reopening"
"Minnesota","MN","reopening_business",2020-04-27,"Reopening"
"Mississippi","MS","reopening_business",2020-04-27,"Reopening"
"Montana","MT","reopening_business",2020-04-27,"Reopening"
"Tennessee","TN","reopening_business",2020-04-27,"Reopening"
"Vermont","VT","reopening_business",2020-04-27,"Reopening"
