"State","State.Abbreviation","Policy","Date","Group"
"Tennessee","TN","Closed.gyms",2020-03-23,"Lockdown"
"Tennessee","TN","Closed.movie.theaters",2020-03-23,"Lockdown"
"Tennessee","TN","Closed.bars",2020-03-23,"Lockdown"
"Vermont","VT","Closed.gyms",2020-03-23,"Lockdown"
"Washington","WA","Stay.at.home.shelter.in.place",2020-03-23,"Lockdown"
"Alaska","AK","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"Delaware","DE","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"Delaware","DE","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"Georgia","GA","Closed.bars",2020-03-24,"Lockdown"
"Idaho","ID","Closed.K.12.public.schools",2020-03-24,"Lockdown"
"Massachusetts","MA","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"Massachusetts","MA","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"Massachusetts","MA","Closed.gyms",2020-03-24,"Lockdown"
"Massachusetts","MA","Closed.movie.theaters",2020-03-24,"Lockdown"
"Michigan","MI","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"Michigan","MI","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"New Mexico","NM","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"New Mexico","NM","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"Ohio","OH","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"Ohio","OH","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"Oregon","OR","Closed.gyms",2020-03-24,"Lockdown"
"Oregon","OR","Closed.movie.theaters",2020-03-24,"Lockdown"
"Tennessee","TN","Closed.restaurants",2020-03-24,"Lockdown"
"Vermont","VT","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"West Virginia","WV","Stay.at.home.shelter.in.place",2020-03-24,"Lockdown"
"West Virginia","WV","Closed.other.non.essential.businesses",2020-03-24,"Lockdown"
"West Virginia","WV","Closed.movie.theaters",2020-03-24,"Lockdown"
"District of Columbia","DC","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Hawaii","HI","Stay.at.home.shelter.in.place",2020-03-25,"Lockdown"
"Hawaii","HI","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Hawaii","HI","Closed.gyms",2020-03-25,"Lockdown"
"Idaho","ID","Stay.at.home.shelter.in.place",2020-03-25,"Lockdown"
"Idaho","ID","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Idaho","ID","Closed.restaurants",2020-03-25,"Lockdown"
"Idaho","ID","Closed.gyms",2020-03-25,"Lockdown"
"Idaho","ID","Closed.movie.theaters",2020-03-25,"Lockdown"
"Idaho","ID","Closed.bars",2020-03-25,"Lockdown"
"Indiana","IN","Stay.at.home.shelter.in.place",2020-03-25,"Lockdown"
"Indiana","IN","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Indiana","IN","Closed.gyms",2020-03-25,"Lockdown"
"Indiana","IN","Closed.movie.theaters",2020-03-25,"Lockdown"
"Maine","ME","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Maine","ME","Closed.gyms",2020-03-25,"Lockdown"
"Maine","ME","Closed.movie.theaters",2020-03-25,"Lockdown"
"North Carolina","NC","Closed.gyms",2020-03-25,"Lockdown"
"North Carolina","NC","Closed.movie.theaters",2020-03-25,"Lockdown"
"Vermont","VT","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Vermont","VT","Closed.movie.theaters",2020-03-25,"Lockdown"
"Virginia","VA","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Virginia","VA","Closed.gyms",2020-03-25,"Lockdown"
"Virginia","VA","Closed.movie.theaters",2020-03-25,"Lockdown"
"Virginia","VA","Closed.bars",2020-03-25,"Lockdown"
"Washington","WA","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Wisconsin","WI","Stay.at.home.shelter.in.place",2020-03-25,"Lockdown"
"Wisconsin","WI","Closed.other.non.essential.businesses",2020-03-25,"Lockdown"
"Wisconsin","WI","Closed.gyms",2020-03-25,"Lockdown"
"Wisconsin","WI","Closed.movie.theaters",2020-03-25,"Lockdown"
"Colorado","CO","Stay.at.home.shelter.in.place",2020-03-26,"Lockdown"
"Iowa","IA","Closed.other.non.essential.businesses",2020-03-26,"Lockdown"
"Kentucky","KY","Closed.other.non.essential.businesses",2020-03-26,"Lockdown"
"Virginia","VA","Closed.restaurants",2020-03-26,"Lockdown"
"Utah","UT","Closed.other.non.essential.businesses",2020-03-27,"Lockdown"
"Utah","UT","Closed.gyms",2020-03-27,"Lockdown"
"Utah","UT","Closed.movie.theaters",2020-03-27,"Lockdown"
"Alabama","AL","Closed.other.non.essential.businesses",2020-03-28,"Lockdown"
"Alabama","AL","Closed.gyms",2020-03-28,"Lockdown"
"Alabama","AL","Closed.movie.theaters",2020-03-28,"Lockdown"
"Alabama","AL","Closed.casinos",2020-03-28,"Lockdown"
"Alaska","AK","Stay.at.home.shelter.in.place",2020-03-28,"Lockdown"
"Minnesota","MN","Stay.at.home.shelter.in.place",2020-03-28,"Lockdown"
"Minnesota","MN","Closed.other.non.essential.businesses",2020-03-28,"Lockdown"
"Montana","MT","Stay.at.home.shelter.in.place",2020-03-28,"Lockdown"
"Montana","MT","Closed.other.non.essential.businesses",2020-03-28,"Lockdown"
"New Hampshire","NH","Stay.at.home.shelter.in.place",2020-03-28,"Lockdown"
"New Hampshire","NH","Closed.other.non.essential.businesses",2020-03-28,"Lockdown"
"New Hampshire","NH","Closed.gyms",2020-03-28,"Lockdown"
