"State","State.Abbreviation","Policy","Date","Group"
"District of Columbia","DC","closing_bars","3/16/2020","Lockdown"
"Florida","FL","closing_bars","3/17/2020","Lockdown"
"Georgia","GA","closing_bars","3/24/2020","Lockdown"
"Hawaii","HI","closing_bars","3/17/2020","Lockdown"
"Idaho","ID","closing_bars","3/25/2020","Lockdown"
"Illinois","IL","closing_bars","3/16/2020","Lockdown"
"Indiana","IN","closing_bars","3/16/2020","Lockdown"
"Iowa","IA","closing_bars","3/17/2020","Lockdown"
"Kansas","KS","closing_bars","3/30/2020","Lockdown"
"Kentucky","KY","closing_bars","3/16/2020","Lockdown"
"Louisiana","LA","closing_bars","3/17/2020","Lockdown"
"Maine","ME","closing_bars","3/18/2020","Lockdown"
"Maryland","MD","closing_bars","3/16/2020","Lockdown"
"Massachusetts","MA","closing_bars","3/17/2020","Lockdown"
"Michigan","MI","closing_bars","3/16/2020","Lockdown"
"Minnesota","MN","closing_bars","3/17/2020","Lockdown"
"Mississippi","MS","closing_bars","4/3/2020","Lockdown"
"Missouri","MO","closing_bars","3/23/2020","Lockdown"
"Montana","MT","closing_bars","3/20/2020","Lockdown"
"Nebraska","NE","closing_bars","4/3/2020","Lockdown"
"Nevada","NV","closing_bars","3/21/2020","Lockdown"
"New Hampshire","NH","closing_bars","3/16/2020","Lockdown"
"New Jersey","NJ","closing_bars","3/16/2020","Lockdown"
"New Mexico","NM","closing_bars","3/19/2020","Lockdown"
"New York","NY","closing_bars","3/16/2020","Lockdown"
"North Carolina","NC","closing_bars","3/17/2020","Lockdown"
"North Dakota","ND","closing_bars","3/20/2020","Lockdown"
"Ohio","OH","closing_bars","3/15/2020","Lockdown"
"Oklahoma","OK","closing_bars","4/1/2020","Lockdown"
"Oregon","OR","closing_bars","3/17/2020","Lockdown"
"Pennsylvania","PA","closing_bars","3/18/2020","Lockdown"
"Rhode Island","RI","closing_bars","3/17/2020","Lockdown"
"South Carolina","SC","closing_bars","3/18/2020","Lockdown"
"Tennessee","TN","closing_bars","3/23/2020","Lockdown"
"Texas","TX","closing_bars","3/21/2020","Lockdown"
"Utah","UT","closing_bars","3/19/2020","Lockdown"
"Vermont","VT","closing_bars","3/17/2020","Lockdown"
"Virginia","VA","closing_bars","3/25/2020","Lockdown"
"Washington","WA","closing_bars","3/17/2020","Lockdown"
"West Virginia","WV","closing_bars","3/18/2020","Lockdown"
"Wisconsin","WI","closing_bars","3/17/2020","Lockdown"
"Wyoming","WY","closing_bars","3/19/2020","Lockdown"
"Alabama","AL","reopening_business","4/30/2020","Reopening"
"Alaska","AK","reopening_business","4/24/2020","Reopening"
"Arizona","AZ","reopening_business","5/8/2020","Reopening"
"Arkansas","AR","reopening_business","5/4/2020","Reopening"
"California","CA","reopening_business","5/8/2020","Reopening"
"Colorado","CO","reopening_business","5/1/2020","Reopening"
"Connecticut","CT","reopening_business","5/20/2020","Reopening"
"Delaware","DE","reopening_business","5/8/2020","Reopening"
"District of Columbia","DC","reopening_business","5/29/2020","Reopening"
"Florida","FL","reopening_business","5/18/2020","Reopening"
"Georgia","GA","reopening_business","5/1/2020","Reopening"
"Hawaii","HI","reopening_business","5/7/2020","Reopening"
"Idaho","ID","reopening_business","5/1/2020","Reopening"
"Illinois","IL","reopening_business","5/29/2020","Reopening"
"Indiana","IN","reopening_business","5/18/2020","Reopening"
"Iowa","IA","reopening_business","5/15/2020","Reopening"
"Kansas","KS","reopening_business","5/4/2020","Reopening"
"Kentucky","KY","reopening_business","5/11/2020","Reopening"
"Louisiana","LA","reopening_business","5/1/2020","Reopening"
"Maine","ME","reopening_business","5/1/2020","Reopening"
"Maryland","MD","reopening_business","5/15/2020","Reopening"
"Massachusetts","MA","reopening_business","5/18/2020","Reopening"
"Michigan","MI","reopening_business","5/26/2020","Reopening"
"Minnesota","MN","reopening_business","4/27/2020","Reopening"
"Mississippi","MS","reopening_business","4/27/2020","Reopening"
"Missouri","MO","reopening_business","5/4/2020","Reopening"
"Montana","MT","reopening_business","4/27/2020","Reopening"
"Nebraska","NE","reopening_business","6/1/2020","Reopening"
"Nevada","NV","reopening_business","5/9/2020","Reopening"
"New Hampshire","NH","reopening_business","5/11/2020","Reopening"
"New Jersey","NJ","reopening_business","5/18/2020","Reopening"
"New Mexico","NM","reopening_business","5/16/2020","Reopening"
"New York","NY","reopening_business","6/8/2020","Reopening"
"North Carolina","NC","reopening_business","5/8/2020","Reopening"
"North Dakota","ND","reopening_business","5/1/2020","Reopening"
"Ohio","OH","reopening_business","5/4/2020","Reopening"
"Oklahoma","OK","reopening_business","4/24/2020","Reopening"
"Oregon","OR","reopening_business","5/15/2020","Reopening"
