"date","state","time","Z_t","M_t","W_t_ma","ed","zed","ed2","sc","sh","rb","ob","old","meanold","cold","white","black","asian","hispanic"
2020-04-03,"Indiana",18,3455,3523.42857142857,0.148498253783469,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-04,"Indiana",19,3975,4004.42857142857,0.136514758352254,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-05,"Indiana",20,4437,4491.28571428571,0.121579679640398,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-06,"Indiana",21,4986,4969,0.10636470625656,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-07,"Indiana",22,5544,5469.71428571429,0.100767616364316,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-08,"Indiana",23,5986,5972.42857142857,0.0919086920183871,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-09,"Indiana",24,6400,6480,0.0849857679335996,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-10,"Indiana",25,6960,6953.42857142857,0.0730599647266314,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-11,"Indiana",26,7494,7389.71428571429,0.0627439700866992,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-12,"Indiana",27,7990,7824.57142857143,0.0588462728116301,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-13,"Indiana",28,8300,8284.42857142857,0.0587709048418899,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-14,"Indiana",29,8598,8752.28571428571,0.0564742804918005,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-15,"Indiana",30,9030,9214.57142857143,0.0528188554826496,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-16,"Indiana",31,9619,9687.57142857143,0.0513317416514217,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-17,"Indiana",32,10235,10185.2857142857,0.0513765797118545,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-18,"Indiana",33,10730,10701.8571428571,0.0507174214903854,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-04-19,"Indiana",34,11301,11208.2857142857,0.0473215596758906,0,-0.689212740446557,11,1,1,1,1,4,3.67647058823529,0.323529411764706,0.784,0.093,0.023,0.071
2020-03-17,"Iowa",1,29,31.1428571428571,0.147368421052632,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-18,"Iowa",2,38,38.2857142857143,0.229357798165138,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-19,"Iowa",3,44,48,0.253731343283582,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-20,"Iowa",4,45,59.8571428571429,0.247023809523809,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-21,"Iowa",5,68,73.4285714285714,0.22673031026253,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-22,"Iowa",6,90,89,0.212062256809338,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-23,"Iowa",7,105,108.285714285714,0.21669341894061,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-24,"Iowa",8,124,135.571428571429,0.251978891820581,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-25,"Iowa",9,147,168.428571428571,0.242360379346681,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-26,"Iowa",10,179,203.571428571429,0.208651399491094,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-27,"Iowa",11,236,249.142857142857,0.223859649122807,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-28,"Iowa",12,298,302.571428571429,0.214449541284404,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
2020-03-29,"Iowa",13,336,360,0.189801699716714,1,-0.612298408361712,8,0,0,1,1,2,2.52941176470588,-0.529411764705882,0.85,0.036,0.025,0.062
